BYTM;TPYS Bara ID;TPYS Bara Adı;YKS Bara Adı;YTBS Santral Adı;YTBS Trafo Merkezi ID;YTBS Trafo Merkezi Adı;Enlem;Boylam;KAYNAK TÜRÜ;İkincil Kaynakları;İli;Bara Tipi;Senkron Kompansatör Var mI?;EÜAŞ Protokol Var Mı?;Yan Hizmetler Analiz Platformu RGK Tipi;RGK TİPİ Açıklama;Bara Gerilim Seviyesi;SCADA RGK Tipi;OYS Bara ID;TPYS Santral İsmi;UEVCB Adı;TPYS UEVCB ID;Dengeleme Birimi mi?;TPYS Ünite MKÜD;TPYS Santral MKÜD;Ünite Adı;Ünite Nominal Güç;Ünite PMKUD;Nominal İkaz (Düşük);Nominal İkaz (Aşırı)
OA_YTM;6275;R3-KARAMAN-1 RES;R3-KARAMAN-1 RES;R3-KARAMAN-1 RES;2541;AYBASTI RES;36,995;33,095;Rüzgar;;Karaman;RES;;;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;154;WIND_AFTER_2013_RES_KV;5012961;R3-KARAMAN-1 RES;R3-KARAMAN-1 RES;5012962;0;;;Ünite 1-17;42;-;-13,81;13,81
OA_YTM;6239;R3-YOZGAT-1 RES;R3-YOZGAT-1 RES;R3-YOZGAT-1 RES;2358;KARALIK RES;39,926;35,417;Rüzgar;;Yozgat;RES;;;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;154;WIND_AFTER_2013_RES_KV;5012663;R3-YOZGAT-1 RES;R3-YOZGAT-1 RES;5012681;0;;;ÜNİTE 1-5;50;-;-16,43;16,43
OA_YTM;5192;YAHYALI-2 RES;YAHYALI-2 RES;YAHYALI BAK RES;1400;YAHYALI BAK RES;38,179;35,468;Rüzgar;Güneş;Kayseri;Hibrit- RES/GES;;;HIB_RESGES_GK;RES-2>> 25.09.2008 ile 02.01.2013 arası kV;154;WIND_BETWEEN_2008_2013_RES_KV;10442;YAHYALI RES(BAK);YAHYALI RES(BAK);3196728;0;;;Ünite 1-27;91,5;-;-30,07;30,07
OA_YTM;6228;G4-BOR-1 GES (Smart GES);G4-BOR-1 GES;G4-BOR-1 GES;2159;ATAHAN GES;37,804;34,458;Güneş;;Niğde;GES;;;GES_GK_2020S;GES-1>> 2020 Sonrası;154;GES_AFTER_2020_KV;5011621;G4-BOR-1 GES;G4-BOR-1 GES;5011641;0;;;Ünite 1-10;93,02;-;-45,05;45,05
OA_YTM;6153;G4-BOR2 GES;G4-BOR2 GES;G4-BOR-2 GES;2175;UĞURLU GES;37,8;34,468;Güneş;;Niğde;GES;;;GES_GK_2020S;GES-1>> 2020 Sonrası;154;GES_AFTER_2020_KV;20704;G4-BOR2 GES;G4-BOR2 GES;3223631;0;;;Ünite 1-8;100;-;-48,43;48,43
OA_YTM;6155;G4-BOR3 GES;G4-BOR3 GES;G4-BOR-3 GES;2239;SÖNMEZ GES;37,795;34,468;Güneş;;Niğde;GES;;;GES_GK_2020S;GES-1>> 2020 Sonrası;154;GES_AFTER_2020_KV;5000620;G4-BOR3 GES;G4-BOR3 GES;5000640;0;;;ÜNİTE GES;100;-;-48,43;48,43
OA_YTM;6084;KARAPINAR YEKA-1 GES 154;KARAPINAR YEKA-1 GES 154;KARAPINAR YEKA-1 GES;1732;KARAPINAR ACIGÖL GES;37,764;33,572;Güneş;;Konya;GES;;;GES_GK_2020S;GES-1>> 2020 Sonrası;154;GES_AFTER_2020_KV;15303;KARAPINAR YEKA-1 GES;KARAPINAR YEKA-1 GES;3213050;0;;;Ünite A-B;200;-;-96,86;96,86
OA_YTM;6085;KARAPINAR YEKA-1 GES 400;KARAPINAR YEKA-1 GES 400;KARAPINAR YEKA-1 MEKE GES;1816;KARAPINAR MEKE GÖLÜ GES;37,792;33,584;Güneş;;Konya;GES;;;GES_GK_2020S;GES-1>> 2020 Sonrası;400;GES_AFTER_2020_KV;15303;KARAPINAR YEKA-1 GES;KARAPINAR YEKA-1 GES 400;3223150;0;;;Ünite 1-5;800;-;-387,46;387,46
OA_YTM;6201;R3-ANKARA-2-1;R3-ANKARA-2-1;R3-ANKARA-2-1;2352;ATA RES;39,02;33,679;Rüzgar;;Ankara;GES;;;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;154;WIND_AFTER_2013_RES_KV;5003861;R3-ANKARA-2-1 RES;R3-ANKARA-2-1 RES;5003862;0;;;Ünite 1-12;50;-;-16,43;16,43
OA_YTM;6083;TEKSİN GES;TEKSİN GES;TEKSİN GES;1733;TEKSİN GES;37,184;33,32;Güneş;;Karaman;GES;;;GES_GK_2020S;GES-1>> 2020 Sonrası;154;GES_AFTER_2020_KV;15183;TEKSİN GES;TEKSİN GES;3212790;0;;;ÜNİTE A;33,12;-;-16,04;16,04
OA_YTM;6227;İGA GES (LİSANSSIZ);İGA GES (LİSANSSIZ);İGA GES;2344;İGA GES;39,205;31,491;Güneş;;Ankara;GES;;;GES_GK_2020S;GES-1>> 2020 Sonrası;400;GES_AFTER_2020_KV;5012347;LÜY_İLETİM_GES_K3 OSMANGAZİ_İGA GES(ESKİŞEHİR);İGA GES(ESKİŞEHİR)_(ST)_LUY_GES_İLETİM_5.1.H;5012361;0;;;Ünite 1-18;199,32;-;-96,54;96,54
OA_YTM;6282;OYAK ANKARA-1 GES (LİSANSSIZ);OYAK ANKARA-1 GES (LİSANSSIZ);OYÇİM GES;2570;OYÇİM GES;40,086;32,038;Güneş;;Ankara;GES;;;GES_GK_2020S;GES-1>> 2020 Sonrası;154;GES_AFTER_2020_KV;5013643;LÜY_İLETİM_GES_K3 BAŞKENT_OYAK ANKARA-1 GES;OYAK ANKARA-1 GES_TRA, TRB(ST)_LUY_GES_İLETİM_5.1.H;5013592;0;;;Ünite 1-14;97,8;-;-47,37;47,37
OA_YTM;9999;2008ORESkV;2008ORESkV;2008ORESkV;9999;2008ORESkV;40,086;32,038;Rüzgar;;Ankara;RES;;;RES_SRG_2008O;RES-4>> 2008 Öncesi;154;WIND_BEFORE_2008;9999;2008ORESkV;2008ORESkV;9999;0;;;Ünite 1-14;50;-;-16,43;16,43
OA_YTM;99999;2008ORESMvar;2008ORESMvar;2008ORESMvar;1111;2008ORESMvar;40,086;32,038;Rüzgar;;Ankara;RES;;;RES_SRG_2008O;RES-4>> 2008 Öncesi;154;WIND_BEFORE_2008;1111;2008ORESMvar;2008ORESMvar;1111;0;;;Ünite 1-15;50;-;-10;10
